t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
79;85;1,060709674;0,073724419;0,921125368;0,942426076;1,010096361;1,059002097;1,109461723;1,184818112;1,209997407
80;86;1,193107697;0,078331358;1,044508484;1,067253328;1,139381377;1,1913939;1,244965951;1,324808106;1,351445744
81;87;1,322553095;0,082498595;1,165786775;1,189842978;1,266013323;1,320838117;1,377223495;1,461113267;1,489065011
82;88;1,297326247;0,080924988;1,143550143;1,16714749;1,241864934;1,295643981;1,350953844;1,433243473;1,460662055
83;89;1,267092706;0,078281249;1,11829501;1,14113902;1,213451045;1,265480994;1,318977555;1,398544191;1,425049187
84;90;1,338615075;0,078336522;1,189465376;1,212421347;1,284978122;1,337087287;1,390586679;1,470020317;1,496446697
85;91;1,288383624;0,074885777;1,145775294;1,167731202;1,237114362;1,286933032;1,338071683;1,413984227;1,439235194
86;92;1,160849395;0,069250469;1,029075134;1,049339012;1,113420533;1,159472641;1,206777546;1,277056095;1,300447288
87;93;1,016589048;0,06316777;0,896540994;0,914966138;0,973300041;1,015280996;1,058452242;1,122673924;1,144070287
88;94;1,109653629;0,064716314;0,986423806;1,005393314;1,065344579;1,108395772;1,152591565;1,218204679;1,240031441
89;95;1,088040512;0,063455811;0,96721088;0,985810912;1,044594485;1,086807155;1,130142131;1,194477274;1,215878909
90;96;1,144496454;0,064690764;1,021202908;1,040208595;1,100224372;1,143277839;1,18744019;1,252941183;1,274715008
91;97;1,207068912;0,06594922;1,081256689;1,100678854;1,16195649;1,205868061;1,250872347;1,317555241;1,339705215
92;98;1,210153751;0,065342161;1,085459201;1,104718318;1,165463631;1,208977906;1,253562139;1,319600154;1,341530285
93;99;1,160306401;0,063019193;1,040064163;1,058631083;1,117201683;1,15916569;1,202167685;1,265872844;1,287030965
94;100;1,22155236;0,063505483;1,10023981;1,119005479;1,178139906;1,220452039;1,263765401;1,327852585;1,349117732
95;101;1,087610186;0,058897394;0,97522338;0,992579451;1,047326333;1,086547213;1,126735344;1,186266868;1,206037553
96;102;1,051719766;0,056953818;0,943041651;0,959824983;1,012765253;1,050691871;1,089553819;1,147120842;1,166239108
97;103;0,979037381;0,054223865;0,875632987;0,891586758;0,941938836;0,978036502;1,01504492;1,069902142;1,088129464
98;104;0,911491163;0,051937029;0,812527772;0,82777759;0,875943311;0,910504891;0,945963936;0,998569053;1,016059228
99;105;0,947580908;0,052888809;0,846744399;0,862296833;0,911391958;0,946597102;0,982697463;1,036220888;1,054008089
100;106;0,956551356;0,05338949;0,85476026;0,870459924;0,920019817;0,955558236;0,992000348;1,046030462;1,06398605
101;107;0,982229399;0,054484284;0,878332869;0,894361517;0,944951903;0,981222168;1,018408964;1,073533087;1,091849716
102;108;0,981691386;0,05479267;0,877225021;0,893337303;0,944199727;0,980672165;1,018072046;1,073522177;1,091949672
103;109;1,01670961;0,055968022;0,909960933;0,926434948;0,978420925;1,015682815;1,053879039;1,110486814;1,129293254
104;110;1,026964846;0,056362018;0,919455658;0,93604916;0,988408195;1,025933941;1,064397761;1,121397094;1,140332359
105;111;1,005757;0,05578936;0,899371808;0,915784395;0,967586586;1,004725642;1,042803184;1,099247709;1,118003081
106;112;0,928770966;0,053533469;0,826799712;0,842505038;0,892124538;0,927742629;0,964296464;1,0185447;1,036585926
107;113;0,886641707;0,052245864;0,787188062;0,802490405;0,85086547;0,885615713;0,921299571;0,974292828;0,991925737
108;114;0,79870776;0,049725373;0,704212283;0,718714226;0,764629862;0,797676075;0,831661094;0,882220532;0,89906593
109;115;0,765272122;0,04909223;0,672069787;0,686352225;0,731612706;0,764222622;0,797787561;0,84777203;0,864438366
110;116;0,760130581;0,049691291;0,665849732;0,680283684;0,726050371;0,759048049;0,793030813;0,843670173;0,860563041
111;117;0,814481965;0,052574585;0,714688676;0,729976357;0,778431438;0,81335102;0,84929974;0,902845409;0,920701984
112;118;0,870735106;0,055743103;0,764898884;0,781119017;0,832516826;0,869545866;0,907657089;0,96440788;0,983329327
113;119;1,028659122;0,062030479;0,91066235;0,928798466;0,986168452;1,027412531;1,069790967;1,132772087;1,153739839
114;120;1,119653679;0,065861981;0,994274308;1,013567212;1,074554699;1,118362532;1,16334526;1,230144437;1,252370206
115;121;1,126705883;0,066507345;1,000111107;1,019587949;1,081162717;1,125397552;1,17082292;1,238286729;1,260735468
116;122;1,134431919;0,066387607;1,008032491;1,027486916;1,088976379;1,133137169;1,178476131;1,245793507;1,268188988
117;123;1,146653646;0,065982503;1,020963219;1,040323134;1,101486266;1,145388273;1,190441717;1,257300532;1,279534785
118;124;1,095379495;0,06366764;0,974134364;0,992801205;1,051790538;1,094146207;1,137624118;1,202164712;1,223633001
119;125;1,02455693;0,060796269;0,908851297;0,92664854;0,98292146;1,02335465;1,06488187;1,126566478;1,147094719
120;126;0,89348912;0,05617318;0,786773853;0,803143338;0,854986684;0,892312204;0,930708688;0,987849549;1,006892372
121;127;0,841791835;0,054224579;0,738859606;0,7546298;0,804611107;0,840627818;0,87770376;0,93292452;0,951338731
122;128;0,854219576;0,054798211;0,750184348;0,766126832;0,816647932;0,853048093;0,890514279;0,946308435;0,964911896
123;129;0,878249057;0,056224135;0,771499529;0,787859632;0,839700975;0,877049555;0,915489656;0,972730175;0,991814902
124;130;0,991795072;0,060696873;0,876387785;0,894113563;0,950208849;0,990557151;1,032031923;1,093699319;1,114237028
125;131;0,956103197;0,060469276;0,841248415;0,858861299;0,914652338;0,954828695;0,996164819;1,057692621;1,0782005
126;132;0,945169944;0,06063268;0,83005789;0,8476978;0,903597976;0,943873731;0,985329013;1,047063678;1,067647885
127;133;0,909560135;0,059715548;0,796276212;0,813615639;0,868602124;0,90825363;0,949094035;1,009961333;1,030268413
128;134;0,9131673;0,060081997;0,799196465;0,816639099;0,871956536;0,911849937;0,952942117;1,014189243;1,034624191
129;135;0,913396884;0,060491186;0,798675137;0,816226779;0,87190114;0,912061857;0,953437429;1,01512099;1,035705064
130;136;0,929439018;0,061553603;0,812702395;0,830562299;0,887214478;0,928080543;0,970182801;1,03294972;1,053895316
131;137;0,905145736;0,061304205;0,788971338;0,806724364;0,863077081;0,903762098;0,945706214;1,00828693;1,029182778
132;138;1,093964684;0,067975658;0,964779414;0,98460695;1,047380821;1,092557072;1,139014211;1,208123998;1,231148902
133;139;1,132494065;0,069700191;0,999991507;1,020337527;1,08473523;1,131064469;1,178694598;1,249527172;1,273120505
134;140;1,229130324;0,07268;1,090793327;1,112075033;1,179358971;1,227698069;1,277340466;1,351071253;1,375606352
135;141;1,170005528;0,070298819;1,036265574;1,056824893;1,12185363;1,168597881;1,216623043;1,28798786;1,311744661
136;142;1,12892222;0,067953132;0,999651963;1,019522499;1,082375791;1,127559081;1,173982781;1,242971816;1,265938732
137;143;1,046201791;0,064267665;0,924019433;0,942782459;1,002166587;1,044886108;1,088802861;1,154109117;1,175860706
138;144;1,028368952;0,062817632;0,90892237;0,927270184;0,985330895;1,02709017;1,070013097;1,133829844;1,155082408
139;145;0,946958876;0,059771514;0,833422119;0,850834594;0,905987574;0,945701592;0,986559708;1,047371953;1,067640315
140;146;0,97797007;0,060534828;0,862911856;0,880574425;0,936487825;0,97672135;1,018091174;1,079625293;1,100124313
141;147;0,93164909;0,059159776;0,819296135;0,836521954;0,891093375;0,930397173;0,970840186;1,031046712;1,051116222
142;148;1,044780971;0,062888424;0,925145533;0,94353507;1,001703758;1,04351943;1,086483061;1,150330181;1,171585317
143;149;1,150282546;0,066301184;1,023991181;1,043442222;1,104895957;1,149008952;1,194280865;1,261467287;1,28381134
144;150;1,195277534;0,067669265;1,066313207;1,086191657;1,148966045;1,194000771;1,240197296;1,308718634;1,331497307
145;151;1,177932778;0,066687312;1,050839861;1,070429853;1,132293317;1,176674542;1,222200705;1,289727726;1,312175855
146;152;1,224313985;0,066991481;1,096518711;1,116245767;1,178487685;1,223092331;1,268808621;1,336549432;1,359051549
147;153;1,186062017;0,06480149;1,062439333;1,081523489;1,141734697;1,184882065;1,229103131;1,294625528;1,31639002
148;154;1,184444141;0,063584293;1,063085034;1,081833488;1,140959638;1,183306541;1,226688599;1,290935304;1,312267899
149;155;1,145986542;0,061431327;1,028732084;1,046847496;1,103975225;1,144889041;1,186801526;1,248869317;1,269477783
150;156;1,102112989;0,059249961;0,989030965;1,006499673;1,061591907;1,101051405;1,141476887;1,201347513;1,221227685
151;157;1,116931724;0,05878588;1,004671404;1,022028218;1,07673921;1,115900562;1,156000214;1,215352663;1,235051846
152;158;1,121653071;0,058233326;1,010407821;1,027617119;1,081845362;1,120645458;1,160362424;1,219126128;1,23862431
153;159;1,025277759;0,055119274;0,920079395;0,936330249;0,987581658;1,024290185;1,061897353;1,117594021;1,136088221
154;160;1,002368349;0,053965698;0,899375707;0,915284873;0,965460472;1,001400044;1,038220724;1,092754849;1,110863589
155;161;0,977503409;0,052934777;0,876494346;0,892093335;0,941297787;0,976548049;1,01266764;1,06617235;1,083941504
156;162;0,927672642;0,05145802;0,82954692;0,844685277;0,89246568;0,926721357;0,961842657;1,013904976;1,03120423
157;163;0,958817948;0,052385821;0,858880806;0,874308525;0,92298354;0,957864069;0,993612581;1,046581185;1,0641757
158;164;0,950272367;0,052390211;0,850351932;0,865771184;0,914430587;0,949309752;0,985064849;1,038057165;1,055663054
159;165;0,955363674;0,052831732;0,854609742;0,8701556;0,919218342;0,954389983;0,990447636;1,043893143;1,061650794
160;166;0,959669478;0,053232885;0,858159251;0,873819753;0,923248175;0,958685381;0,995018068;1,048876096;1,066772027
161;167;0,933262872;0,052751136;0,832724955;0,848222865;0,897161851;0,93226917;0,968280713;1,021692538;1,039447685
162;168;0,932783827;0,052978561;0,831826426;0,847385723;0,896524741;0,931781025;0,967949815;1,02160263;1,039439832
163;169;0,979299914;0,054574251;0,875245412;0,891295243;0,941958502;0,978286333;1,015536475;1,070762055;1,089114289
164;170;0,846870689;0,051068224;0,749726742;0,764657777;0,811889127;0,845844401;0,880733563;0,932584427;0,949846681
165;171;0,797150946;0,049821934;0,702483672;0,717009239;0,763004862;0,79611323;0,830165891;0,880832465;0,897715184
166;172;0,773523815;0,049519788;0,679503444;0,693912715;0,73957233;0,772467345;0,806323725;0,8567387;0,873547703
167;173;0,749821958;0,04954963;0,655843962;0,670223578;0,715833089;0,748730797;0,782621446;0,833142468;0,85000059
168;174;0,780135553;0,051665739;0,682151298;0,697142218;0,744693889;0,778995301;0,814334326;0,867018476;0,884599408
169;175;0,7884405;0,053277872;0,687468391;0,70290017;0,751881098;0,787240764;0,823692178;0,878073332;0,896230218
170;176;0,739101771;0,052928177;0,638999712;0,654250128;0,702747198;0,737838734;0,77407964;0,828261859;0,8463811
171;177;0,791894528;0,056135915;0,685686324;0,701876209;0,753343327;0,790568467;0,829000325;0,886436273;0,905638146
172;178;0,811447448;0,058258532;0,701274615;0,718056866;0,771429875;0,810053635;0,849945773;0,909592575;0,929540688
173;179;0,931660673;0,063986718;0,810461832;0,828968861;0,88774117;0,930196208;0,973983901;1,039348025;1,061181451
174;180;0,954694263;0,066196137;0,829352703;0,848482463;0,90925109;0,953164741;0,998470253;1,066123526;1,088727443
175;181;0,926535634;0,066181117;0,801356791;0,820430366;0,881080049;0,92496037;0,970274188;1,038014405;1,060665991
176;182;0,988820755;0,068894407;0,858392494;0,878293349;0,941521435;0,987221182;1,034376537;1,104804579;1,128338696
177;183;1,115814494;0,073574629;0,97625938;0,99761517;1,065347279;1,114197789;1,164519476;1,239528664;1,264556704
178;184;1,064463463;0,072094563;0,927840821;0,948718616;1,014990163;1,062836286;1,112163126;1,185758884;1,21033268
179;185;1,091636786;0,072775786;0,953648287;0,974752325;1,041708762;1,090019973;1,139802463;1,214036464;1,238812983
180;186;0,984866275;0,068618885;0,854959621;0,874780889;0,937756115;0,9832731;1,030239871;1,100386258;1,123826258
181;187;0,92768875;0,066095087;0,802660984;0,821714259;0,882294221;0,92611953;0,971372835;1,039016129;1,061633692
182;188;0,860413818;0,063430548;0,740578751;0,758805149;0,816823628;0,8588556;0,90230557;0,967337853;0,989103499
183;189;0,729670947;0,058608581;0,619321878;0,636017946;0,689331593;0,728102363;0,768300605;0,828674701;0,848933417
184;190;0,562733022;0,052024686;0,465395541;0,47998033;0,526824211;0,561130608;0,596895351;0,650951927;0,669175899
