mun_id;municipio_resid;data;Mean;0.05 quantile;Median;0.95 quantile
3505906;BATATAIS;28/04/2021;1,105513147;0,910362829;1,100910269;1,316365296
3505906;BATATAIS;29/04/2021;1,134836894;0,938008755;1,130282585;1,34720115
3505906;BATATAIS;30/04/2021;1,015972147;0,832176006;1,01151962;1,214957282
3505906;BATATAIS;01/05/2021;1,018984918;0,835791563;1,014577139;1,217214603
3505906;BATATAIS;02/05/2021;1,01889472;0,835717581;1,014487331;1,217106859
3505906;BATATAIS;03/05/2021;1,017205242;0,834331838;1,012805161;1,215088716
3505906;BATATAIS;04/05/2021;0,963072902;0,785463769;0,958678897;1,155671436
3505906;BATATAIS;05/05/2021;0,822193111;0,658302385;0,817776968;1,001148945
3505906;BATATAIS;06/05/2021;0,817375842;0,651888819;0,812839378;0,998338478
3505906;BATATAIS;07/05/2021;0,865015934;0,691252429;0,860293691;1,054888792
3505906;BATATAIS;08/05/2021;0,894274971;0,714633941;0,889392998;1,09057025
3505906;BATATAIS;09/05/2021;1,037359377;0,840839659;1,032352306;1,250959933
3505906;BATATAIS;10/05/2021;0,892217276;0,710131513;0,887181595;1,091481696
3505906;BATATAIS;11/05/2021;0,855826401;0,676793496;0,850737623;1,052219181
3505906;BATATAIS;12/05/2021;0,960435655;0,767504335;0,955192501;1,171253346
3505906;BATATAIS;13/05/2021;0,91461306;0,724879881;0,909270042;1,122573396
3505906;BATATAIS;14/05/2021;0,862860899;0,677592142;0,85744021;1,066621904
3505906;BATATAIS;15/05/2021;0,952631162;0,755011265;0,947066048;1,169235872
3505906;BATATAIS;16/05/2021;0,852224817;0,664134242;0,846550101;1,059674348
3505906;BATATAIS;17/05/2021;1,151043622;0,928322232;1,145235519;1,393578514
3505906;BATATAIS;18/05/2021;1,304845187;1,067291818;1,29905048;1,562166175
3505906;BATATAIS;19/05/2021;1,178272564;0,958077639;1,172745409;1,417322475
3505906;BATATAIS;20/05/2021;1,337340869;1,106716517;1,332037721;1,586055838
3505906;BATATAIS;21/05/2021;1,441309226;1,207001741;1,436255168;1,692857486
3505906;BATATAIS;22/05/2021;1,564702502;1,328689547;1,560006212;1,816735657
3505906;BATATAIS;23/05/2021;1,45190909;1,234786421;1,447628426;1,683634147
3505906;BATATAIS;24/05/2021;1,235027921;1,043688247;1,231109418;1,43973461
3505906;BATATAIS;25/05/2021;1,01272117;0,844652019;1,009013994;1,193436542
3505906;BATATAIS;26/05/2021;0,95403591;0,792255606;0,9503831;1,128277008
