Data;Município1;DATA_DIA;DIA;STR_DATA;UF1;Escala de cor;Número de registros;Índice De Isolamento
segunda-feira, 21/12;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (21/12/2020);SP;>40-50%;1;40%
terça-feira, 22/12;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (22/12/2020);SP;Até 40%;1;40%
quarta-feira, 23/12;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (23/12/2020);SP;>40-50%;1;40%
quinta-feira, 24/12;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (24/12/2020);SP;>40-50%;1;42%
sexta-feira, 25/12;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (25/12/2020);SP;>40-50%;1;48%
sábado, 26/12;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (26/12/2020);SP;>40-50%;1;47%
domingo, 27/12;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (27/12/2020);SP;>40-50%;1;49%
segunda-feira, 28/12;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (28/12/2020);SP;>40-50%;1;42%
terça-feira, 29/12;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (29/12/2020);SP;>40-50%;1;43%
quarta-feira, 30/12;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (30/12/2020);SP;>40-50%;1;42%
quinta-feira, 31/12;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (31/12/2020);SP;>40-50%;1;45%
sexta-feira, 01/01;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (1/1/2021);SP;>40-50%;1;48%
sábado, 02/01;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (2/1/2021);SP;>40-50%;1;49%
domingo, 03/01;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (3/1/2021);SP;>50-60%;1;50%
segunda-feira, 04/01;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (4/1/2021);SP;>40-50%;1;41%
terça-feira, 05/01;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (5/1/2021);SP;>40-50%;1;41%
quarta-feira, 06/01;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (6/1/2021);SP;>40-50%;1;42%
quinta-feira, 07/01;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (7/1/2021);SP;>40-50%;1;42%
sexta-feira, 08/01;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (8/1/2021);SP;>40-50%;1;40%
sábado, 09/01;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (9/1/2021);SP;>40-50%;1;46%
domingo, 10/01;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (10/1/2021);SP;>40-50%;1;47%
segunda-feira, 11/01;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (11/1/2021);SP;>40-50%;1;41%
terça-feira, 12/01;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (12/1/2021);SP;>40-50%;1;41%
quarta-feira, 13/01;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (13/1/2021);SP;>40-50%;1;41%
quinta-feira, 14/01;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (14/1/2021);SP;>40-50%;1;41%
sexta-feira, 15/01;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (15/1/2021);SP;>40-50%;1;40%
sábado, 16/01;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (16/1/2021);SP;>40-50%;1;43%
domingo, 17/01;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (17/1/2021);SP;>40-50%;1;47%
segunda-feira, 18/01;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (18/1/2021);SP;>40-50%;1;41%
terça-feira, 19/01;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (19/1/2021);SP;>40-50%;1;41%
quarta-feira, 20/01;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (20/1/2021);SP;>40-50%;1;41%
quinta-feira, 21/01;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (21/1/2021);SP;>40-50%;1;41%
sexta-feira, 22/01;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (22/1/2021);SP;Até 40%;1;40%
sábado, 23/01;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (23/1/2021);SP;>40-50%;1;42%
domingo, 24/01;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (24/1/2021);SP;>40-50%;1;47%
segunda-feira, 25/01;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (25/1/2021);SP;>40-50%;1;43%
terça-feira, 26/01;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (26/1/2021);SP;Até 40%;1;40%
quarta-feira, 27/01;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (27/1/2021);SP;Até 40%;1;40%
quinta-feira, 28/01;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (28/1/2021);SP;>40-50%;1;40%
sexta-feira, 29/01;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (29/1/2021);SP;Até 40%;1;40%
sábado, 30/01;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (30/1/2021);SP;>40-50%;1;43%
domingo, 31/01;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (31/1/2021);SP;>40-50%;1;48%
segunda-feira, 01/02;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (1/2/2021);SP;Até 40%;1;40%
terça-feira, 02/02;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (2/2/2021);SP;>40-50%;1;40%
quarta-feira, 03/02;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (3/2/2021);SP;Até 40%;1;40%
quinta-feira, 04/02;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (4/2/2021);SP;Até 40%;1;40%
sexta-feira, 05/02;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (5/2/2021);SP;Até 40%;1;39%
sábado, 06/02;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (6/2/2021);SP;>40-50%;1;42%
domingo, 07/02;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (7/2/2021);SP;>40-50%;1;47%
segunda-feira, 08/02;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (8/2/2021);SP;Até 40%;1;40%
terça-feira, 09/02;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (9/2/2021);SP;>40-50%;1;40%
quarta-feira, 10/02;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (10/2/2021);SP;Até 40%;1;39%
quinta-feira, 11/02;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (11/2/2021);SP;Até 40%;1;39%
sexta-feira, 12/02;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (12/2/2021);SP;Até 40%;1;39%
sábado, 13/02;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (13/2/2021);SP;>40-50%;1;42%
domingo, 14/02;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (14/2/2021);SP;>40-50%;1;48%
segunda-feira, 15/02;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (15/2/2021);SP;>40-50%;1;41%
terça-feira, 16/02;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (16/2/2021);SP;>40-50%;1;42%
quarta-feira, 17/02;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (17/2/2021);SP;Até 40%;1;40%
