t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
208;214;0,657214257;0,056355658;0,551405001;0,567344941;0,618376312;0,655604142;0,694297277;0,752576026;0,772172815
209;215;0,623316469;0,056900748;0,516791298;0,532767753;0,584052577;0,621585892;0,660694184;0,719768588;0,739675327
210;216;0,638806554;0,059829715;0,526936633;0,543682536;0,597499049;0,636939673;0,678079343;0,740298956;0,761284628
211;217;0,569196674;0,058708154;0,459968852;0,476193336;0,528576051;0,567179523;0,6076189;0,669081067;0,689886248
212;218;0,6522793;0,065556536;0,530140429;0,548321938;0,606947249;0,650084393;0,695219196;0,763724074;0,78689005
213;219;0,71482122;0,071482122;0,581607075;0,601445408;0,665397293;0,7124399;0,761649819;0,836320344;0,861566495
214;220;0,80010463;0,078082217;0,654406318;0,676146494;0,74614683;0,797566054;0,851295682;0,932722498;0,960227718
215;221;0,783376496;0,079132976;0,635982906;0,65791464;0,728650064;0,780713567;0,835200699;0,917922314;0,945901331
216;222;0,892202204;0,086252443;0,731181237;0,755225686;0,832610908;0,889424302;0,948765904;1,038654844;1,069007884
217;223;0,826181743;0,084321821;0,669209865;0,692546811;0,767853036;0,823314834;0,881385925;0,969596479;0,999443876
218;224;0,886038399;0,08860384;0,720916205;0,745506305;0,824776232;0,883086694;0,944083594;1,036639537;1,067932759
219;225;0,86693016;0,088945158;0,701398269;0,725997026;0,805395872;0,863890204;0,925151336;1,018233411;1,049735559
220;226;0,842458407;0,088802913;0,677436045;0,701902519;0,780983663;0,839340253;0,900534861;0,993651201;1,025198479
221;227;0,675903907;0,080785969;0,526900254;0,548734213;0,619803961;0,672688055;0,728499353;0,814043961;0,843179658
222;228;0,631699325;0,080225895;0,48432025;0,505780415;0,575897895;0,628306358;0,683803404;0,769192912;0,7983564
223;229;0,60455667;0,081518405;0,45543482;0,477004159;0,547761165;0,600896664;0,657364025;0,744594957;0,774473218
224;230;0,656429573;0,088512946;0,49451259;0,517932647;0,594760831;0,652455527;0,713767969;0,808483594;0,840925507
225;231;0,671116287;0,093067084;0,501221743;0,525714857;0,606222033;0,666819196;0,731328304;0,831176927;0,865424861
226;232;0,692477153;0,097931058;0,51396989;0,539643742;0,624151954;0,68786615;0,755778159;0,861040727;0,89718169
227;233;0,636802233;0,09711143;0,460856934;0,485919187;0,568893339;0,631872642;0,699340215;0,804502568;0,84075368
228;234;0,700338241;0,105579962;0,508866838;0,536182415;0,626533785;0,695039854;0,7683699;0,882569458;0,921911219
229;235;0,956281743;0,127788523;0,722364952;0,756234282;0,867271774;0,950595652;1,039095775;1,175726749;1,222504773
230;236;0,986915679;0,131882155;0,745505498;0,780459812;0,895054328;0,981047438;1,072382612;1,21339048;1,261667012
231;237;0,920354282;0,127630175;0,687364599;0,720953923;0,831359713;0,914461346;1,002927733;1,139857964;1,186824836
232;238;0,896225436;0,126745417;0,665195793;0,698423689;0,807796841;0,890257733;0,978151563;1,114385648;1,161160404
233;239;0,9343846;0,130840015;0,695710708;0,730079386;0,843125914;0,928284658;1,018996668;1,15949936;1,207715302
234;240;1,082960224;0,142199644;0,822337102;0,860148281;0,983961346;1,076742714;1,175183998;1,326982532;1,378909193
235;241;1,192176051;0,149022006;0,918120829;0,958094179;1,088567934;1,185972583;1,289024104;1,447420206;1,501478067
236;242;0,942336498;0,13067856;0,703781969;0,738173558;0,851216337;0,936302812;1,026882175;1,167082918;1,215171571
