t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
80;86;1,11260337;0,106082569;0,914424658;0,944049623;1,039333765;1,109233667;1,18220036;1,292652008;1,329929618
81;87;1,026970789;0,099748221;0,840799536;0,868589263;0,958048194;1,023743132;1,092375613;1,196362669;1,231482351
82;88;1,109996594;0,102183469;0,91877352;0,947434973;1,039473233;1,10686259;1,177104178;1,283249046;1,319028041
83;89;1,002396414;0,09645564;0,822285207;0,849190118;0,935762609;0,999304301;1,065660161;1,166150682;1,200077779
84;90;0,843973086;0,087990277;0,680361424;0,704641736;0,783076656;0,84091719;0,901539057;0,99372895;1,024948756
85;91;0,785927237;0,084748713;0,628640343;0,651913404;0,72722722;0,782883115;0,841309687;0,930325459;0,960511069
86;92;0,708415712;0,081260855;0,558151007;0,580258582;0,652045585;0,70531106;0,761402429;0,847163803;0,87632095
87;93;0,729728906;0,084261836;0,573978075;0,596878233;0,671267203;0,726488241;0,784658988;0,873634531;0,903893046
88;94;0,764981591;0,088927304;0,600675085;0,624817514;0,703272386;0,761538501;0,822938592;0,916891171;0,948851535
89;95;0,751467675;0,091128841;0,583544054;0,608114375;0,688161276;0,747787237;0,810763328;0,907376225;0,94030301
90;96;0,776403737;0,095568694;0,600470594;0,626173358;0,709986694;0,772486046;0,838551533;0,93999875;0,974596505
91;97;0,698751014;0,093374532;0,527829007;0,552577183;0,633711808;0,694596212;0,759262877;0,85909855;0,893279054
92;98;0,779661928;0,101503337;0,593514783;0,62054672;0,709012549;0,77526151;0,845516219;0,953788663;0,990810893
93;99;0,788066333;0,105309793;0,595296839;0,62320836;0,714713725;0,783380458;0,856312905;0,968909711;1,007459215
94;100;0,807659563;0,109908545;0,606738721;0,635769431;0,73106392;0,802679518;0,878828709;0,996538691;1,036874916
95;101;1,041807927;0,128237691;0,805734175;0,840223116;0,952687024;1,036551021;1,125200192;1,261325908;1,307750486
96;102;1,089211622;0,134072682;0,842396189;0,878454425;0,996035595;1,083715519;1,17639835;1,318717974;1,367254933
