t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
76;82;1,330084855;0,024763181;1,281988046;1,28961683;1,313299633;1,32993118;1,346702552;1,371077079;1,379054982
77;83;1,123385435;0,022027165;1,080623509;1,087401173;1,108450907;1,12324147;1,138163025;1,159860776;1,166965499
78;84;1,077665163;0,020970059;1,036952446;1,043406023;1,063447911;1,077529149;1,091734143;1,112388261;1,119150834
79;85;0,924433007;0,019041259;0,887485684;0,89333748;0,911519607;0,924302275;0,937203894;0,955974476;0,962123269
80;86;0,823732714;0,017794067;0,789222468;0,794684229;0,811661981;0,82360459;0,835663776;0,853218242;0,858971074
81;87;0,747391655;0,016951187;0,714533568;0,71972971;0,735889474;0,747263506;0,758754139;0,775490731;0,780978002
82;88;0,754087388;0,017218582;0,720713504;0,725990616;0,742403302;0,753956338;0,765628614;0,782631186;0,788206017
83;89;0,720669563;0,017188055;0,687371532;0,692632694;0,709003117;0,720532922;0,732187054;0,749172528;0,754744109
84;90;0,767042998;0,018206251;0,731770448;0,737344061;0,754685815;0,766898957;0,779243159;0,797233272;0,803134114
85;91;0,797256496;0,019101787;0,76025303;0,766099186;0,784290732;0,797103945;0,810055962;0,82893417;0,835126887
86;92;0,776723466;0,019387817;0,739184464;0,745110833;0,763560142;0,776562158;0,789710947;0,808886334;0,815179156
87;93;0,678689751;0,018575079;0,642767148;0,648428206;0,666070396;0,678520298;0,691124383;0,709529317;0,715575333
88;94;0,968890114;0,022717376;0,924871503;0,931828616;0,953472237;0,96871257;0,984114449;1,006557233;1,013917688
89;95;1,088281416;0,024714527;1,040375602;1,047951212;1,071511314;1,088094335;1,104847578;1,12924977;1,137250386
90;96;1,150883067;0,025896892;1,100680255;1,108620321;1,133311616;1,150688831;1,168242777;1,19380837;1,202189698
91;97;1,116384663;0,025551176;1,066861454;1,074691803;1,099046051;1,116189736;1,133510782;1,15874244;1,167015622
92;98;1,151968465;0,025681868;1,102177396;1,11005355;1,134543853;1,151777621;1,169185035;1,194534367;1,202844077
93;99;1,216478697;0,026030241;1,165989954;1,173981752;1,198821833;1,216293037;1,233933171;1,259608948;1,268022526
94;100;1,366396526;0,027208475;1,313583893;1,321952692;1,347947577;1,366215933;1,384648607;1,411456378;1,420235447
95;101;1,105647961;0,024064273;1,058980872;1,066365745;1,089323097;1,105473381;1,121782513;1,145525687;1,15330717
96;102;1,077312743;0,023201572;1,032313606;1,039435733;1,061574058;1,077146187;1,092869864;1,115757891;1,123258398
97;103;1,045220156;0,022391292;1,001790111;1,008664471;1,03003157;1,045060267;1,060234445;1,082321236;1,08955883
98;104;1,106526889;0,022777496;1,062329554;1,069329689;1,091079701;1,106370604;1,121803709;1,144257194;1,151612376
99;105;1,071219421;0,022278427;1,027994994;1,034839964;1,056109854;1,071064982;1,086160632;1,108125685;1,115321509
100;106;1,089358181;0,022329666;1,046027965;1,052891201;1,074215042;1,089205613;1,104335003;1,126345582;1,133555419
101;107;1,047713228;0,021737912;1,005536482;1,012215785;1,032970435;1,047562893;1,062292138;1,083723479;1,090744312
102;108;1,026490399;0,021352804;0,98506195;0,991622489;1,012008586;1,026342344;1,040810815;1,061863338;1,068760227
103;109;0,980595503;0,020737385;0,940367929;0,946736674;0,96652981;0,980449324;0,994501843;1,014952962;1,021653796
104;110;0,930917285;0,020128235;0,891880485;0,898058548;0,917263081;0,930772219;0,94441335;0,964270857;0,970778481
105;111;0,762324788;0,018207448;0,727052502;0,73262546;0,749966318;0,762179837;0,774525245;0,792518559;0,798420815
106;112;0,792131399;0,018644838;0,756005608;0,761714882;0,779477182;0,791985119;0,804626154;0,823046889;0,82908848
107;113;0,74350774;0,018314999;0,70804021;0,71364091;0,731073858;0,743357359;0,75577769;0,773887532;0,779829863
108;114;0,780355299;0,019170398;0,743230036;0,749092801;0,767340921;0,780198324;0,793198557;0,812153258;0,818372637
109;115;0,811281043;0,020045384;0,772464009;0,778593291;0,797672155;0,811115953;0,824709965;0,844531934;0,851036262
110;116;0,807940728;0,020521715;0,768214865;0,774484438;0,794005965;0,807766984;0,821686091;0,841989677;0,848653957
111;117;0,808647074;0,021005592;0,767996093;0,774408928;0,794381624;0,808465199;0,822714261;0,843505613;0,850331625
112;118;0,845924217;0,021929564;0,803484024;0,810179373;0,831031475;0,845734725;0,860610392;0,882315435;0,889441266
113;119;0,850118452;0,022418162;0,806742253;0,813582998;0,834892139;0,8499214;0,865129956;0,88732607;0,894614472
114;120;0,872730917;0,023127323;0,827985444;0,835041457;0,857022422;0,872526635;0,888216723;0,911117206;0,9186373
115;121;0,82593991;0,022863525;0,78173066;0,788695995;0,810405862;0,825728952;0,841243992;0,863903426;0,871348008
116;122;0,845728285;0,023474346;0,800339616;0,807490377;0,829778923;0,845511107;0,8614409;0,884707008;0,892351144
117;123;0,951644893;0,025280752;0,902734663;0,91044705;0,934473459;0,951421038;0,9685723;0,993606324;1,001827257
118;124;1,001392631;0,026343318;0,950420161;0,958459275;0,983500666;1,001161639;1,01903279;1,045113925;1,0536778
119;125;1,092756017;0,027827938;1,038888544;1,047389544;1,073859823;1,092519806;1,111394714;1,13892823;1,147965849
120;126;0,979422317;0,026441917;0,928276529;0,936338842;0,961460186;0,979184373;0,997125063;1,023317446;1,031920313
121;127;0,993338187;0,026538603;0,941998254;0,950092858;0,975311681;0,993101856;1,011107067;1,037389661;1,046021153
122;128;1,05907751;0,027299802;1,006240486;1,014576944;1,04053845;1,058842951;1,077360874;1,104378182;1,113247505
123;129;0,998894309;0,026489255;0,947644827;0,955726359;0,980902242;0,998660166;1,016631135;1,042860943;1,051474392
124;130;0,905299734;0,025176371;0,856621418;0,86429014;0,888193716;0,90506636;0,922151349;0,94710539;0,955304283
125;131;0,907419642;0,025167293;0,858757074;0,866423743;0,890320122;0,907186981;0,924265536;0,949209171;0,957404391
126;132;0,863631358;0,024634994;0,816016639;0,823513815;0,8468901;0,863397132;0,880117286;0,904547868;0,912577148
127;133;0,915991958;0,025582775;0,866530777;0,874322142;0,898609278;0,915753802;0,933115023;0,958474151;0,96680655
128;134;0,886813324;0,025462545;0,837603676;0,8453509;0,869508851;0,886569639;0,903852154;0,929106982;0,9374078
129;135;0,882801126;0,025699334;0,833143657;0,840959062;0,865333941;0,882551759;0,899996475;0,925493803;0,933875707
130;136;0,924230326;0,02658074;0,872860829;0,880947799;0,906165702;0,923975519;0,942017183;0,968382025;0,977047854
131;137;1,033919797;0,028425423;0,978950843;0,987612627;1,014607796;1,03365931;1,052947839;1,081115515;1,090369064
132;138;0,963458462;0,027697483;0,90993045;0,918357305;0,944634942;0,963193059;0,981992665;1,009464934;1,018494719
133;139;0,935277589;0,027389951;0,882357999;0,890685736;0,916660503;0,935010228;0,953603223;0,980781438;0,989716555
